#Bin Center	Count
6.29473	1
6.37918	0
6.46363	0
6.54808	0
6.63253	1
6.71698	0
6.80143	3
6.88588	3
6.97033	3
7.05478	3
7.13923	8
7.22368	16
7.30813	14
7.39259	17
7.47704	16
7.56149	27
7.64594	39
7.73039	37
7.81484	36
7.89929	35
7.98374	34
8.06819	49
8.15264	54
8.23709	45
8.32154	38
8.40599	35
8.49044	50
8.57489	79
8.65934	71
8.74379	91
8.82824	116
8.91269	135
8.99715	158
9.0816	151
9.16605	197
9.2505	191
9.33495	211
9.4194	249
9.50385	249
9.5883	266
9.67275	275
9.7572	322
9.84165	332
9.9261	381
10.0106	416
10.095	525
10.1795	593
10.2639	679
10.3484	758
10.4328	889
10.5173	1127
10.6017	1272
10.6862	1466
10.7706	1885
10.8551	2194
10.9395	2532
11.024	3004
11.1084	3539
11.1929	4058
11.2773	4879
11.3618	5581
11.4462	6004
11.5307	6789
11.6151	7160
11.6996	7745
11.784	8109
11.8685	8210
11.9529	8715
12.0374	9027
12.1218	9714
12.2063	10482
12.2907	11682
12.3752	12565
12.4596	13230
12.5441	14285
12.6285	14519
12.713	15121
12.7974	15056
12.8819	14402
12.9663	13555
13.0508	12439
13.1352	11233
13.2197	9674
13.3041	8295
13.3886	6855
13.473	5734
13.5575	4628
13.6419	3564
13.7264	2810
13.8108	2002
13.8953	1516
13.9797	1072
14.0642	708
14.1486	526
14.2331	377
14.3175	257
14.402	136
14.4864	62
14.5709	37
14.6553	8
