#Bin Center	Count
4.30304	1
4.40892	1
4.5148	3
4.62067	2
4.72655	11
4.83243	17
4.9383	16
5.04418	14
5.15006	26
5.25594	23
5.36181	46
5.46769	103
5.57357	101
5.67944	162
5.78532	263
5.8912	429
5.99707	661
6.10295	947
6.20883	1294
6.3147	1743
6.42058	2034
6.52646	2022
6.63234	1660
6.73821	1194
6.84409	969
6.94997	853
7.05584	845
7.16172	908
7.2676	1144
7.37347	1278
7.47935	1604
7.58523	2011
7.6911	2333
7.79698	2534
7.90286	2673
8.00873	2644
8.11461	2749
8.22049	2914
8.32637	3161
8.43224	3410
8.53812	3701
8.644	3949
8.74987	4022
8.85575	4338
8.96163	4309
9.0675	4252
9.17338	4309
9.27926	4336
9.38513	4353
9.49101	4313
9.59689	4485
9.70276	4474
9.80864	4541
9.91452	4625
10.0204	4908
10.1263	4937
10.2321	5316
10.338	5626
10.4439	6170
10.5498	6467
10.6557	6730
10.7615	7012
10.8674	7332
10.9733	7513
11.0792	7597
11.185	8028
11.2909	8195
11.3968	8159
11.5027	8202
11.6085	8272
11.7144	8267
11.8203	8581
11.9262	8611
12.0321	8931
12.1379	8853
12.2438	9179
12.3497	9697
12.4556	9768
12.5614	9780
12.6673	9621
12.7732	8797
12.8791	7919
12.9849	6585
13.0908	5655
13.1967	4582
13.3026	3684
13.4085	2851
13.5143	2322
13.6202	1718
13.7261	1251
13.832	956
13.9378	707
14.0437	531
14.1496	421
14.2555	365
14.3613	311
14.4672	235
14.5731	132
14.679	42
14.7849	15
