#Bin Center	Count
3.27923	2
3.3942	3
3.50918	24
3.62415	88
3.73912	268
3.85409	703
3.96907	1457
4.08404	2525
4.19901	3699
4.31399	4937
4.42896	5399
4.54393	5634
4.6589	5519
4.77388	5626
4.88885	5813
5.00382	5915
5.1188	5331
5.23377	4478
5.34874	3554
5.46371	3158
5.57869	2916
5.69366	2992
5.80863	3340
5.92361	3965
6.03858	5087
6.15355	6446
6.26852	7818
6.3835	8891
6.49847	9353
6.61344	9183
6.72842	8613
6.84339	8443
6.95836	8217
7.07334	8360
7.18831	8316
7.30328	8289
7.41825	8411
7.53323	9019
7.6482	9704
7.76317	10642
7.87815	10850
7.99312	11019
8.10809	11051
8.22306	10868
8.33804	10809
8.45301	10534
8.56798	10543
8.68296	10224
8.79793	10398
8.9129	10236
9.02787	10470
9.14285	10347
9.25782	10179
9.37279	10099
9.48777	9661
9.60274	9058
9.71771	8532
9.83268	8057
9.94766	7657
10.0626	7056
10.1776	6899
10.2926	6705
10.4075	6522
10.5225	6579
10.6375	6420
10.7525	6329
10.8674	6331
10.9824	6183
11.0974	5961
11.2124	5689
11.3273	5310
11.4423	5022
11.5573	4652
11.6723	4259
11.7872	3832
11.9022	3455
12.0172	3012
12.1321	2683
12.2471	2322
12.3621	2026
12.4771	1833
12.592	1632
12.707	1409
12.822	1193
12.937	1016
13.0519	817
13.1669	659
13.2819	530
13.3968	384
13.5118	324
13.6268	198
13.7418	159
13.8567	108
13.9717	73
14.0867	34
14.2017	27
14.3166	9
14.4316	13
14.5466	8
14.6615	3
