struc_name	rms_sele	rms_heavy	rms_scaffold
fn1.pdb    2.19494   2.79127   2.778
fn2.pdb    2.65168   3.05356   3.06704
fn3.pdb    2.60258   3.08156   3.0626
fn4.pdb    3.38894   3.78551   3.84184
fn5.pdb    2.27417   2.68485   2.6982
fn6.pdb    2.61771   2.90591   2.82263
fn7.pdb    3.08388   3.3145   3.22041
fn8.pdb    2.65533   3.05894   3.06601
fn9.pdb    2.37288   3.03288   3.03425
fn10.pdb    3.41544   3.79585   3.679
fn11.pdb    2.39661   2.93008   2.951
fn12.pdb    2.48961   2.79734   2.78894
fn13.pdb    2.62629   3.29994   3.18576
fn14.pdb    2.92866   3.53783   3.56885
fn15.pdb    2.29248   2.60958   2.58609
fn16.pdb    2.35336   2.90676   2.93011
fn17.pdb    3.10914   3.31676   3.1934
fn18.pdb    2.8985   3.39841   3.34974
fn19.pdb    2.68551   3.10021   3.10921
fn20.pdb    2.71303   3.0164   3.05325
fn21.pdb    2.50896   3.47871   3.37678
fn22.pdb    2.35789   2.84757   2.77892
fn23.pdb    2.65215   3.29229   3.25237
fn24.pdb    2.39757   2.80476   2.80219
fn25.pdb    2.45762   2.93006   2.87526
fn26.pdb    2.67399   3.1078   3.15541
fn27.pdb    2.74151   3.30528   3.34253
fn28.pdb    3.48062   4.08644   4.09349
fn29.pdb    2.80716   3.17584   3.16211
fn30.pdb    2.9806   3.22492   3.24603
fn31.pdb    2.38414   3.02955   3.06198
fn32.pdb    2.5018   2.85557   2.78914
fn33.pdb    2.89985   3.26012   3.18488
fn34.pdb    4.05346   4.24162   4.12496
fn35.pdb    3.49311   3.54411   3.47375
fn36.pdb    2.35181   2.97027   2.97249
fn37.pdb    3.02795   3.32538   3.36173
fn38.pdb    2.40787   2.93132   2.96207
fn39.pdb    2.81305   3.45336   3.32233
fn40.pdb    3.08902   3.4435   3.2964
fn41.pdb    3.76504   4.04293   3.80116
fn42.pdb    3.02255   3.63142   3.56582
fn43.pdb    2.78845   3.32744   3.31086
fn44.pdb    2.60958   3.26743   3.20556
fn45.pdb    2.36459   2.9756   2.94249
fn46.pdb    2.05617   2.88868   2.8355
fn47.pdb    3.47883   3.6772   3.46173
fn48.pdb    2.18436   2.77094   2.68507
