#d4g	#Starting		timings	on	Fri
# atoms	Run #				ns/day
13866	1	prod.info-|	ns/day	=	1.11
13929	2	prod.info-|	ns/day	=	1.08
15390	3	prod.info-|	ns/day	=	1.02
14058	4	prod.info-|	ns/day	=	1.11
10011	5	prod.info-|	ns/day	=	1.57
12414	6	prod.info-|	ns/day	=	1.23
12093	7	prod.info-|	ns/day	=	1.28
13314	8	prod.info-|	ns/day	=	1.16
14793	9	prod.info-|	ns/day	=	1.07
16329	10	prod.info-|	ns/day	=	0.89
13233	11	prod.info-|	ns/day	=	1.16
9741	12	prod.info-|	ns/day	=	1.58
10809	13	prod.info-|	ns/day	=	1.42
11715	14	prod.info-|	ns/day	=	1.34
11418	15	prod.info-|	ns/day	=	1.4
16866	16	prod.info-|	ns/day	=	0.89
13866	17	prod.info-|	ns/day	=	1.09
13929	18	prod.info-|	ns/day	=	1.08
15390	19	prod.info-|	ns/day	=	1.03
14058	20	prod.info-|	ns/day	=	1.12
10011	21	prod.info-|	ns/day	=	1.53
12414	22	prod.info-|	ns/day	=	1.27
12093	23	prod.info-|	ns/day	=	1.29
13314	24	prod.info-|	ns/day	=	1.13
14793	25	prod.info-|	ns/day	=	1.04
16329	26	prod.info-|	ns/day	=	0.94
13233	27	prod.info-|	ns/day	=	1.19
9741	28	prod.info-|	ns/day	=	1.58
10809	29	prod.info-|	ns/day	=	1.46
11715	30	prod.info-|	ns/day	=	1.34
11418	31	prod.info-|	ns/day	=	1.34
16866	32	prod.info-|	ns/day	=	0.88
#		d4m		
11142	1	prod.info-|	ns/day	=	1.54
10011	2	prod.info-|	ns/day	=	1.74
12474	3	prod.info-|	ns/day	=	1.4
16203	4	prod.info-|	ns/day	=	1.01
11019	5	prod.info-|	ns/day	=	1.59
10104	6	prod.info-|	ns/day	=	1.73
10608	7	prod.info-|	ns/day	=	1.69
9066	8	prod.info-|	ns/day	=	1.9
14802	9	prod.info-|	ns/day	=	1.16
12030	10	prod.info-|	ns/day	=	1.45
10662	11	prod.info-|	ns/day	=	1.67
6375	12	prod.info-|	ns/day	=	2.67
12252	13	prod.info-|	ns/day	=	1.4
9729	14	prod.info-|	ns/day	=	1.82
12024	15	prod.info-|	ns/day	=	1.47
9144	16	prod.info-|	ns/day	=	1.88
14790	17	prod.info-|	ns/day	=	1.15
8940	18	prod.info-|	ns/day	=	1.97
12444	19	prod.info-|	ns/day	=	1.4
11397	20	prod.info-|	ns/day	=	1.53
7311	21	prod.info-|	ns/day	=	2.33
11688	22	prod.info-|	ns/day	=	1.48
10941	23	prod.info-|	ns/day	=	1.57
12438	24	prod.info-|	ns/day	=	1.38
11544	25	prod.info-|	ns/day	=	1.52
7689	26	prod.info-|	ns/day	=	2.25
14382	27	prod.info-|	ns/day	=	1.19
12021	28	prod.info-|	ns/day	=	1.45
7242	29	prod.info-|	ns/day	=	2.33
13581	30	prod.info-|	ns/day	=	1.27
10758	31	prod.info-|	ns/day	=	1.63
9051	32	prod.info-|	ns/day	=	1.93
