Filename                 a        b        c       A_ell    A_elf    A_det
SIZES/1.pqr            16.815   11.149    6.774   11.429   11.452   10.325
SIZES/2.pqr            17.195   11.283    6.912   11.641   11.663   10.361
SIZES/3.pqr            16.694   11.026    7.267   11.529   11.546   10.179
SIZES/4.pqr            17.531   11.461    7.208   11.912   11.933   10.490
SIZES/5.pqr            14.518   10.326    8.316   10.991   10.996    9.927
SIZES/6.pqr            15.483   10.585    7.115   10.951   10.967    9.999
SIZES/7.pqr            16.191   10.940    7.710   11.505   11.517   10.260
SIZES/8.pqr            16.698   11.082    7.529   11.644   11.659   10.267
SIZES/9.pqr            16.779   11.101    7.436   11.642   11.658   10.260
SIZES/10.pqr           17.018   11.233    7.082   11.632   11.652   10.365
SIZES/11.pqr           15.954   10.767    7.237   11.202   11.218   10.093
SIZES/12.pqr           14.380   10.264    8.587   11.022   11.025    9.877
SIZES/13.pqr           15.290   10.542    8.118   11.236   11.243    9.996
SIZES/14.pqr           15.777   10.715    7.310   11.156   11.171   10.082
SIZES/15.pqr           15.548   10.758    8.284   11.448   11.456   10.221
SIZES/16.pqr           15.907   10.789    7.602   11.327   11.339   10.142
SIZES/17.pqr           16.815   11.149    6.774   11.429   11.452   10.325
SIZES/18.pqr           17.195   11.283    6.912   11.641   11.663   10.361
SIZES/19.pqr           16.694   11.026    7.267   11.529   11.546   10.179
SIZES/20.pqr           17.531   11.461    7.208   11.912   11.933   10.490
SIZES/21.pqr           14.518   10.326    8.316   10.991   10.996    9.927
SIZES/22.pqr           15.483   10.585    7.115   10.951   10.967    9.999
SIZES/23.pqr           16.191   10.940    7.710   11.505   11.517   10.260
SIZES/24.pqr           16.698   11.082    7.529   11.644   11.659   10.267
SIZES/25.pqr           16.779   11.101    7.436   11.642   11.658   10.260
SIZES/26.pqr           17.018   11.233    7.082   11.632   11.652   10.365
SIZES/27.pqr           15.954   10.767    7.237   11.202   11.218   10.093
SIZES/28.pqr           14.380   10.264    8.587   11.022   11.025    9.877
SIZES/29.pqr           15.290   10.542    8.118   11.236   11.243    9.996
SIZES/30.pqr           15.777   10.715    7.310   11.156   11.171   10.082
SIZES/31.pqr           15.548   10.758    8.284   11.448   11.456   10.221
SIZES/32.pqr           15.907   10.789    7.602   11.327   11.339   10.142
