#Frame            H-O        H-OG1        H2N-O      H2N-OG1
       1       3.2919       2.7327       2.5136       2.4731
       2       3.0722       2.4455       2.7621       2.4318
       3       3.0546       2.4521       2.3267       2.6136
       4       3.2833       2.5147       2.3575       2.2592
       5       3.0933       2.5602       2.5849       2.3947
       6       3.3556       2.3933       3.1308       2.6422
       7       3.2041       2.4147       2.3558       2.4431
       8       3.0584       2.3245       2.2018       2.5870
       9       3.4389       2.3832       2.5611       2.6307
      10       2.9640       2.2488       2.4621       2.5246
      11       3.3274       2.2700       1.8765       2.7256
      12       3.4880       2.4627       1.9792       2.7220
      13       3.5164       2.5737       2.4034       2.7804
      14       3.1644       2.2595       2.6119       2.6529
      15       3.5573       2.5884       2.1868       2.5799
      16       3.4040       2.6428       3.2420       2.8147
      17       3.2803       2.8721       1.9318       2.4087
      18       3.4005       2.6912       2.4060       2.3926
      19       3.2864       2.5809       2.2592       2.5593
      20       3.5071       2.8175       1.9609       2.4468
      21       3.2630       2.6640       2.9839       2.8833
      22       3.2901       2.7823       2.0943       2.5477
      23       3.1125       2.2343       2.2044       2.7809
      24       3.4334       2.4992       2.1712       2.3757
      25       3.3623       2.6007       2.1808       2.5365
      26       3.1413       2.4152       2.1919       2.6289
      27       2.9015       2.4119       3.3160       2.7895
      28       3.2210       2.4833       3.3180       2.7629
      29       3.1696       2.9441       2.2526       2.5620
      30       3.3696       2.2613       3.6633       2.9180
      31       3.1201       2.2579       3.3065       2.5821
      32       2.6586       2.5376       3.2383       2.7835
      33       3.0130       2.4435       2.4406       2.6559
      34       3.1061       2.6097       2.5416       2.3160
      35       2.9254       2.2177       2.2405       2.4009
      36       3.2820       2.5537       2.7998       2.3550
      37       2.9458       2.3343       2.7796       2.5609
      38       3.0920       2.5558       2.9880       2.5956
      39       3.0062       2.6070       2.6448       2.6153
      40       3.0942       2.5546       2.8153       2.6820
      41       2.9248       2.3762       3.0331       2.3448
      42       3.1271       2.6957       3.2800       2.4668
      43       2.9934       2.7301       3.0394       2.6846
      44       3.0697       2.3832       2.9942       2.3052
      45       2.9897       2.5716       2.8319       2.4111
      46       3.1183       2.6822       2.4175       2.3147
      47       3.0677       2.1904       3.1158       2.5731
      48       3.0922       2.4099       2.6683       2.1815
      49       2.9920       2.2094       1.8680       2.5399
      50       3.5958       2.5136       2.0324       2.5638
      51       3.5478       2.5776       2.4325       2.5132
      52       3.4051       2.4761       2.2817       2.5151
      53       3.4142       2.6943       2.3229       2.7685
      54       3.4613       2.4913       1.9900       2.5821
      55       3.2409       2.5874       2.0193       2.7617
      56       3.3192       2.4916       2.2822       2.4210
      57       3.1202       2.4666       2.0373       2.5267
      58       3.1125       2.5809       2.2071       2.4652
      59       3.0354       2.3633       2.3089       2.5985
      60       3.1903       2.5238       2.5519       2.3427
      61       2.9167       2.2566       2.4533       2.4763
      62       2.7556       2.3362       2.6835       2.6072
      63       3.0999       2.7448       2.7178       2.6954
      64       2.8440       2.3877       2.9819       2.7373
      65       3.1704       2.5353       2.4381       2.4130
      66       3.2246       2.6895       2.2919       2.5988
      67       3.1670       2.6776       2.2694       2.7251
      68       3.1660       2.6646       1.9223       2.5842
      69       3.2948       2.4808       2.7459       2.3075
      70       3.2950       2.6181       2.6605       2.4949
      71       3.3238       2.4859       2.4413       2.7483
      72       3.0099       2.3741       2.2875       2.2605
      73       3.0764       2.5413       2.0974       2.3993
      74       3.2550       2.6475       2.8421       2.5480
      75       3.1279       2.2978       2.3909       2.5433
      76       3.4762       2.5697       2.1272       2.4639
      77       3.3803       2.6321       2.8018       2.6530
      78       3.4198       2.4933       2.1697       2.5059
      79       3.3984       2.4713       2.8625       2.9405
      80       3.1638       2.5436       2.3970       2.6513
      81       3.4573       2.5495       2.2984       2.5732
      82       3.3960       2.6196       2.2299       2.8400
      83       3.5113       2.6613       1.9135       2.5111
      84       3.4394       2.4394       2.5580       2.7232
      85       3.1320       2.1144       2.8155       2.8191
      86       3.4738       2.4641       2.7437       2.8885
      87       3.3402       2.2759       2.2145       2.5742
      88       3.4643       2.4497       1.8647       2.1927
      89       3.2232       2.2815       2.2904       2.4088
      90       3.4847       2.4075       2.5475       2.7458
      91       2.8138       2.4162       2.0901       2.7734
      92       3.4578       2.4564       1.9657       2.6240
      93       3.2529       2.2721       2.1455       2.5480
