#Bin1	Bin2	over npts	over nmax	Counts	max1000	over sqrtnpts
1.05	1.07	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.21	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.35	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.49	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.63	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.77	   0.00000	   0.00000	0	         0	   0.00000
1.05	1.91	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.05	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.19	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.33	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.47	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.61	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.75	   0.00000	   0.00000	0	         0	   0.00000
1.05	2.89	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.03	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.17	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.31	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.45	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.59	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.73	   0.00000	   0.00000	0	         0	   0.00000
1.05	3.87	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.01	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.15	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.29	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.43	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.57	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.71	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.85	   0.00000	   0.00000	0	         0	   0.00000
1.05	4.99	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.13	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.27	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.41	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.55	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.69	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.83	   0.00000	   0.00000	0	         0	   0.00000
1.05	5.97	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.11	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.25	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.39	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.53	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.67	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.81	   0.00000	   0.00000	0	         0	   0.00000
1.05	6.95	   0.00000	   0.00000	0	         0	   0.00000
1.05	7.09	   0.00000	   0.00000	0	         0	   0.00000
1.05	7.23	   0.00000	   0.00000	0	         0	   0.00000
1.05	7.37	   0.00000	   0.00000	0	         0	   0.00000
1.05	7.51	   0.00000	   0.00000	0	         0	   0.00000
1.05	7.65	   0.00000	   0.00000	0	         0	   0.00000
